#Table1
plate,mjd,fiberid,z,subclass,e_bv_sfd,h_beta_flux,h_beta_eqw,oiii_h_beta_flux_ratio,oiii_h_gamma_flux_ratio,h_beta_h_gamma_flux_ratio
552,51992,365,0.0575438,,0.02428407,22.86394,-0.4046791,1.454613,1.156152,0.7948171
761,52266,372,0.05618256,BROADLINE,0.04388357,1555.893,-14.62565,2.623075,6.174183,2.353796
883,52430,320,0.1773402,BROADLINE,0.015641,2174.339,-9.267194,3.028183,4.887306,1.61394
1811,53533,122,0.2306872,STARBURST BROADLINE,0.02773762,1004.002,-16.43305,0.4513361,0.9384628,2.079299
1923,53319,338,0.4083879,BROADLINE,0.03638606,545.8138,-5.735824,1.99758,2.699226,1.351248
2784,54529,75,0.06649079,STARBURST BROADLINE,0.02224456,3676.481,-29.68675,0.665395,1.682358,2.528359
2931,54590,496,0.449279,BROADLINE,0.007120453,173.3797,-8.402205,0.594763,1.561662,2.625688
414,51901,324,0.4711973,BROADLINE,0.1043425,547.438,-11.71534,0.4869199,1.350727,2.774023
585,52027,368,0.1058275,STARBURST BROADLINE,0.02938451,4298.79,-31.98537,0.2160255,0.4774205,2.210019
777,52320,588,0.5924422,BROADLINE,0.01636699,639.2422,-6.296787,3.711572,6.050231,1.630099
897,52605,242,0.5136945,BROADLINE,0.03365997,1483.066,-16.58844,0.1680855,0.372335,2.215153
1381,53089,447,0.08168268,BROADLINE,0.01165435,1508.802,-12.61329,0.3039684,0.6470062,2.128531
1600,53090,363,0.190513,BROADLINE,0.02776245,367.7924,-4.141082,0.6440513,0.6543786,1.016035
1624,53386,31,0.5864882,BROADLINE,0.01794488,420.0517,-4.996523,0.6851025,1.061447,1.549326
1866,53314,508,0.1415131,STARBURST BROADLINE,0.08946528,4447.396,-15.2922,0.3805769,0.8483391,2.229087
1986,53475,490,0.09574385,BROADLINE,0.0190759,640.7239,-4.365608,0.4794881,0.481512,1.004221
2101,53858,294,0.05936958,,0.01325422,64.0114,-0.6262717,0.7845697,0.7727766,0.9849687
2281,53711,151,0.06521195,STARBURST BROADLINE,0.0230756,2226.578,-11.93965,1.913376,4.90401,2.563015
2656,54484,292,0.05100756,,0.02598047,76.85601,-0.5936761,0.9293637,1.234638,1.328476
607,52368,625,0.2755408,STARBURST BROADLINE,0.01909766,1777.994,-26.61959,0.4925191,1.118364,2.270702
640,52178,513,0.4174148,BROADLINE,0.09496573,952.4866,-10.36639,0.3341854,0.5882106,1.760133
755,52235,46,0.460881,BROADLINE,0.06995784,1378.274,-5.898989,2.953811,3.965776,1.342597
827,52312,23,0.09166554,BROADLINE,0.03551636,1084.483,-5.900719,3.469231,4.04778,1.166766
2016,53799,61,0.1829528,STARBURST BROADLINE,0.01161656,1984.522,-7.393268,1.205465,1.890834,1.568551
2229,53823,484,0.1674174,BROADLINE,0.02117208,759.5152,-10.45688,0.4054109,0.662433,1.633979
2481,54086,532,0.3970262,BROADLINE,0.03039543,591.6152,-4.314794,0.4529936,0.5787429,1.277596
2617,54502,143,0.2217153,STARBURST BROADLINE,0.02738428,1593.179,-24.37148,0.3409975,0.7274879,2.133412
414,51869,358,0.4711504,BROADLINE,0.1043425,522.7599,-11.18219,0.5030375,1.342947,2.669675
472,51955,50,0.3218345,BROADLINE,0.03500775,1393.899,-13.49305,0.6843642,1.367525,1.998241
655,52162,498,0.05488811,,0.03704821,36.97847,-0.4625452,0.952164,14.22255,14.93708
762,52232,498,0.2543997,STARBURST BROADLINE,0.028514,4576.92,-15.03455,1.509214,3.276532,2.17102
900,52637,296,0.05031559,,0.01903607,12.28783,-0.03092102,1.879409,2.48495,1.322198
1721,53857,100,0.2017623,,0.03747286,539.4926,-3.183425,0.1143321,0.1453033,1.270888
1754,53385,324,0.4343848,BROADLINE,0.03020268,1279.667,-15.685,0.646228,1.482974,2.294816
1871,53384,178,0.1397043,BROADLINE,0.0433805,553.1812,-6.179073,0.9377232,1.402383,1.495519
1940,53383,489,0.4486991,BROADLINE,0.02184018,632.2029,-8.086901,2.356877,4.018652,1.705075
2356,53786,575,0.210506,STARBURST BROADLINE,0.01728246,1899.59,-14.41513,0.5594723,0.9942271,1.77708
2526,54582,404,0.4583784,BROADLINE,0.05439631,965.0396,-11.94227,0.3373327,0.6804778,2.017231
299,51671,251,0.3858436,BROADLINE,0.02635309,678.8031,-12.96311,0.3696499,0.8803626,2.381612
340,51990,485,0.08373255,AGN BROADLINE,0.02868657,1447.242,-10.21055,0.8488361,1.356611,1.598201
