RAJ2000,DEJ2000,Plate,Fiber,MJD,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd
223.63936,61.28397,611,341,52055,-22.77,45.168,0.009,42.31,0.02,2228.0,132.3,60.2,3.7,18.0,7.71,0.05,-0.64
223.64311,8.0602,1814,573,54555,-23.2,45.296,0.001,42.2,0.03,2776.7,667.6,36.8,2.8,42.03,7.96,0.21,-0.77
224.03596,38.01072,1351,492,52790,-23.57,45.51,0.006,42.73,0.07,8124.8,393.2,71.2,15.0,27.29,9.0,0.04,-1.59
224.03606,27.83577,2146,204,54230,-23.78,45.637,0.015,42.79,0.08,2258.5,306.2,59.7,16.0,31.27,7.95,0.12,-0.42
224.04491,52.87834,1164,239,52674,-22.45,44.987,0.007,42.14,0.03,3424.4,235.6,65.5,5.7,15.01,7.99,0.06,-1.1
224.10002,42.30006,1290,136,52734,-22.39,45.006,0.007,42.07,0.03,2355.7,135.9,50.9,4.8,15.74,7.67,0.05,-0.77
224.149,31.88417,1843,565,53816,-22.66,45.027,0.009,42.21,0.11,2689.6,1192.4,70.9,15.0,23.16,7.8,0.39,-0.87
224.33865,26.18867,2145,76,54212,-22.56,45.12,0.003,42.13,0.03,6328.2,465.9,46.6,3.2,19.68,8.59,0.06,-1.57
224.5726,45.92082,1676,518,53147,-23.92,45.605,0.006,42.75,0.04,2664.8,387.0,59.5,6.2,28.34,8.08,0.13,-0.58
224.57652,48.67596,1048,589,52736,-22.84,45.098,0.003,42.48,0.02,2261.3,89.1,105.9,3.9,20.39,7.68,0.03,-0.69
224.60194,36.5221,1351,88,52790,-23.9,45.674,0.013,42.63,0.05,2244.7,200.6,38.8,4.8,32.51,7.97,0.08,-0.39
224.66841,19.87184,2791,520,54556,-23.13,45.124,0.017,42.39,0.04,2310.5,491.6,81.2,7.7,21.06,7.72,0.18,-0.69
224.7072,19.17597,2778,572,54539,-22.6,45.093,0.008,42.25,0.02,4367.3,273.9,64.4,4.7,16.19,8.25,0.05,-1.26
224.74715,53.58658,1164,422,52674,-22.65,45.132,0.005,42.19,0.03,5837.0,573.5,52.3,3.8,15.6,8.53,0.09,-1.49
224.8008,37.47339,1351,103,52790,-22.73,45.115,0.004,42.19,0.02,6525.4,303.9,55.7,3.3,17.48,8.61,0.04,-1.6
224.8786,53.38797,1164,480,52674,-22.86,45.166,0.005,42.39,0.02,3396.1,558.2,76.3,3.7,18.0,8.07,0.14,-1.01
225.31026,39.65771,1398,482,53146,-22.94,45.235,0.003,42.11,0.02,2461.0,268.7,32.6,1.8,23.32,7.83,0.09,-0.69
225.49626,30.88352,1844,446,54138,-22.32,44.866,0.004,42.1,0.01,5365.6,180.3,78.7,3.4,19.16,8.32,0.03,-1.55
225.51709,6.75446,1831,501,54557,-24.56,45.9,0.001,43.1,0.01,1569.3,173.9,67.3,1.6,39.52,7.77,0.1,0.03
225.69687,60.40243,611,201,52055,-22.84,45.171,0.004,42.36,0.04,3081.2,182.5,67.5,5.9,18.77,7.99,0.05,-0.92
225.72551,7.69882,1815,156,53884,-22.81,45.179,0.004,42.37,0.02,3111.2,142.2,70.5,3.4,19.86,8.0,0.04,-0.92
226.03528,14.52314,2751,575,54243,-22.66,45.173,0.002,42.07,0.01,1886.1,105.8,35.9,1.1,38.38,7.56,0.05,-0.49
226.08711,1.8665,539,552,52017,-22.53,45.136,0.002,41.2,0.11,2542.8,2852.8,5.5,1.4,24.01,7.81,0.97,-0.77
226.54376,2.28056,539,586,52017,-23.43,45.249,0.001,42.47,0.01,3265.3,98.2,72.5,1.5,47.45,8.08,0.03,-0.93
226.61018,3.11664,589,41,52055,-22.3,44.97,0.002,42.1,0.02,2213.7,306.2,62.4,3.0,19.59,7.6,0.12,-0.73
226.81383,8.30918,1816,420,53919,-22.45,45.02,0.002,42.22,0.09,1816.3,1296.9,70.8,14.0,24.32,7.46,0.62,-0.54
226.84193,51.33102,1165,240,52703,-23.2,45.263,0.006,42.37,0.05,14341.1,1008.1,58.2,6.3,17.8,9.37,0.06,-2.21
227.30362,53.47321,793,127,52370,-22.39,45.028,0.005,41.75,0.05,4162.3,2514.2,24.6,3.0,17.23,8.18,0.52,-1.25
