,plate,mjd,fiberid,z,subclass,e_bv_sfd,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,neiii_3869_flux,oii_3726_flux,oii_3729_flux,h_alpha_eqw,nii_6584_eqw,psfMag_g,psfMag_z
20456,878,52353,413,0.1414567,b'STARBURST',0.01678104,758.3339,170.4453,183.8107,257.1733,23.78015,130.6342,97.97169,16.44444,134.2957,203.787,-71.26086,-23.88668,18.87976,18.24285
20457,877,52353,366,0.07448542,b'STARFORMING',0.01008323,422.3135,102.8284,110.2699,222.5709,12.77213,79.55519,62.81538,18.88251,54.55217,59.23519,-22.01797,-11.79532,18.42684,17.33527
20458,877,52353,563,0.1079516,b'STARBURST',0.008097848,695.6441,193.5591,529.5499,81.58606,15.22698,80.45546,60.95948,36.06395,219.7052,266.4911,-180.9072,-21.82231,19.6241,19.1259
20459,881,52368,567,0.09604976,b'STARBURST',0.01736072,2130.363,623.2748,2126.775,219.8518,50.67341,222.9459,170.3031,133.5437,625.1049,625.2314,-362.4243,-38.87414,18.95212,18.9377
20460,883,52430,568,0.08259841,b'STARFORMING',0.02296095,606.7505,174.7692,362.206,137.8707,25.32595,125.5286,89.99323,19.90296,222.6208,259.1,-35.63402,-8.144984,18.62621,17.38871
20461,907,52373,6,0.2239417,b'STARBURST',0.009160482,1125.919,375.669,1683.726,59.73821,26.47046,80.70591,59.73978,129.6549,323.3119,392.0629,-331.757,-18.47083,19.20842,18.99882
20462,908,52373,58,0.0693857,b'STARBURST',0.01183053,1231.713,350.2906,666.9857,208.0741,21.75963,151.3336,116.5571,41.89833,448.2797,430.494,-131.0045,-22.14972,18.52192,18.1245
20463,907,52373,608,0.1803788,b'AGN',0.011434,98.77499,18.10707,167.4154,96.17399,14.52652,36.67142,35.84217,16.84174,56.72557,52.64048,-7.789899,-8.222181,19.83553,17.81914
20464,909,52379,420,0.05158595,b'STARFORMING',0.01059103,521.1498,176.3099,317.568,94.70938,26.34534,93.40085,64.06155,42.22884,334.8965,424.7891,-37.05064,-6.719803,18.01218,17.76374
20465,887,52376,204,0.03822238,b'STARFORMING',0.0122136,298.1807,127.9857,215.088,41.13919,10.041,64.95184,45.25261,21.42668,218.254,270.6886,-27.13424,-3.360455,18.9877,18.54807
20466,887,52376,182,0.2331912,b'STARBURST',0.007770708,290.8283,85.01514,146.0938,44.35608,12.43589,48.99755,35.63677,10.80189,110.8749,141.0422,-72.22739,-11.04678,19.667,19.24729
20467,887,52376,239,0.05393201,b'AGN',0.01167536,826.145,195.6398,1580.695,1424.034,114.7208,334.3502,291.7019,119.4656,229.2092,202.0143,-25.49927,-41.39469,18.51904,17.15956
20468,886,52381,588,0.02960934,b'STARFORMING',0.01592368,297.0237,99.12621,157.6537,53.63065,10.89073,69.03957,46.40461,21.38526,181.3615,187.8373,-26.72171,-4.857701,19.1415,18.73489
