,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
18507,645,52203,413,b'GALAXY',b'STARFORMING',0.05996263,429.1971,112.1318,64.35415,140.1435,15.50998,90.29192,63.7224,-31.98371,-10.36278
18508,645,52203,491,b'GALAXY',b'STARBURST',0.0830679,554.0211,126.0033,35.59238,177.7913,15.93001,91.93987,62.15308,-42.95321,-13.6525
18509,645,52203,506,b'GALAXY',b'STARBURST',0.1262729,904.7418,169.7098,177.4725,448.7768,38.33793,140.0271,114.0735,-58.12901,-28.48888
18510,645,52203,525,b'GALAXY',b'STARBURST',0.07494698,649.7927,213.9532,545.6321,69.11289,14.45965,91.32706,60.10142,-130.6734,-14.21711
18511,646,52523,450,b'GALAXY',b'STARBURST',0.01620245,1671.936,382.9907,94.1034,503.2795,18.30268,261.1629,186.7192,-48.51117,-14.42016
18512,648,52559,629,b'GALAXY',b'STARBURST',0.0838282,535.8215,128.1454,55.24345,171.3971,16.7963,92.08672,60.79511,-41.42513,-13.53575
18513,649,52201,71,b'GALAXY',b'STARFORMING',0.04348999,384.1968,102.4291,42.20758,127.3521,14.22737,80.59929,52.41962,-23.97025,-7.978566
18514,650,52143,537,b'GALAXY',b'STARFORMING',0.07633467,325.0952,91.43477,69.1471,95.40109,9.259425,66.59894,38.63229,-34.92937,-9.769432
18515,651,52141,82,b'GALAXY',b'STARBURST',0.210906,452.3263,124.4589,256.3949,74.42017,20.45353,67.04602,50.69207,-110.781,-21.99344
18516,653,52145,170,b'GALAXY',b'STARFORMING',0.1027355,425.9359,75.61495,78.86552,239.5677,13.32404,70.83121,52.70827,-28.74337,-15.86725
18517,653,52145,314,b'GALAXY',b'STARBURST',0.02744939,529.4724,144.1669,46.84931,158.6636,7.893999,68.49191,55.95715,-51.13328,-15.21217
18518,653,52145,531,b'GALAXY',b'STARFORMING',0.07691237,251.9429,43.23506,13.39759,119.8395,11.29548,47.36538,30.77207,-20.01588,-9.635936
18519,655,52162,185,b'GALAXY',b'STARFORMING',0.02701749,537.1818,107.6401,22.02302,176.4171,14.34827,71.76817,51.97515,-22.86537,-7.300503
18520,657,52177,300,b'GALAXY',b'STARBURST',0.02084578,562.4428,175.712,255.1969,75.74444,19.57733,118.9937,81.96522,-44.12198,-5.933407
18521,657,52177,405,b'GALAXY',b'STARBURST',0.05269941,642.7585,197.2422,660.0218,37.94696,16.63771,82.30012,57.83002,-149.7189,-9.247864
18522,658,52146,55,b'GALAXY',b'STARBURST',0.1832687,587.1107,123.7567,47.09787,214.4747,19.3025,88.22926,57.72913,-42.55662,-16.13505
18523,659,52199,57,b'GALAXY',b'STARBURST',0.06719949,667.4832,165.2645,102.1639,188.7768,21.12035,139.1773,98.54247,-50.33993,-14.05289
